Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
First Transit,3216,10,55,292001,20cc,10:57:42 AM,11:55:41 AM,2.7,61,-0.3
,,11,56,292002,20cc,11:56:56 AM,12:59:12 PM,0.9,62,1.2
,,12,58,292003,20cc,12:59:42 PM,2:00:41 PM,1.7,62,0.7
,,14,0,292004,20cc,2:01:42 PM,3:03:42 PM,1.7,62,1.7
,,15,2,292005,20cc,3:04:12 PM,4:07:41 PM,2.2,65,0.7
,,16,7,292006,20cc,4:07:56 PM,5:10:12 PM,0.9,63,0.2
,,17,10,292007,20cc,5:10:41 PM,6:14:30 PM,0.7,64,0.5
,,18,14,292008,20cc,6:14:45 PM,7:15:27 PM,0.8,61,0.5
,,19,15,292009,20cc,7:16:57 PM,,2,48,
,3217,11,9,202001,20cw,11:09:43 AM,11:59:44 AM,0.7,51,-0.3
,,12,13,202002,20cw,12:13:43 PM,1:06:13 PM,0.7,51,2.2
,,13,14,202003,20cw,1:15:58 PM,2:07:14 PM,2,54,-0.8
,,14,22,202004,20cw,2:22:28 PM,3:19:58 PM,0.5,50,8
,,15,25,202005,20cw,3:25:28 PM,4:17:58 PM,0.5,51,2
,,16,27,202006,20cw,4:27:43 PM,5:20:28 PM,0.7,53,0.5
,,17,30,202007,20cw,5:30:28 PM,6:21:13 PM,0.5,47,4.2
,,18,30,202008,20cw,6:30:28 PM,7:16:13 PM,0.5,46,0.2
,,19,26,202009,20cw,7:26:43 PM,8:07:47 PM,0.7,42,-0.2
,3219,10,45,301001,31,10:46:51 AM,11:10:51 AM,1.9,25,0.9
,,11,18,301002,31,11:18:51 AM,11:47:36 AM,0.9,27,2.6
,,,45,301003,31,11:48:21 AM,12:18:51 PM,3.4,23,10.9
,,12,21,301004,31,12:22:21 PM,12:53:06 PM,1.4,26,6.1
,,,47,301005,31,12:53:36 PM,1:17:51 PM,6.6,23,7.9
