Date,FareProduct,TransitCard,PaymentType,BusNo,TransactionType,SeqNo,GrpQty,TotalCost,Bonus,Change,TotalChange,ValueLeft,RidesLeft,RenewedAdvCount,Status
1/19/16 8:07,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 8:07,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 8:45,EZ Pass AdultZ0,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 8:52,Reg SV Sr/Dis,1.60E+14,N/A,3295,SV Entry (Tag On),,1,0.35,0,-0.35,-0.35,7.85,Unlmtd,,Success
1/19/16 9:22,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 9:22,Reg SV Regular,1.60E+14,N/A,3295,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,93.4,Unlmtd,,Success
1/19/16 9:23,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 9:27,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 9:57,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 10:04,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 10:11,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 10:16,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 10:16,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 10:19,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 10:19,Reg SV Regular,1.60E+14,N/A,3295,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,13.75,Unlmtd,,Success
1/19/16 10:21,Reg SV Regular,1.60E+14,N/A,3295,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,32.5,Unlmtd,,Success
1/19/16 10:25,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 10:27,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 10:29,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 10:32,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 10:32,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 11:09,Reg SV Sr/Dis,1.60E+14,N/A,3295,Hotlisted - Reject Everywhere,,1,0,0,0,0,0,Unlmtd,,Hotlisted - Reject
1/19/16 11:18,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 11:18,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 11:27,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 11:28,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 11:31,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,19.25,Unlmtd,0,Success
1/19/16 11:36,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 11:36,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 11:38,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 11:42,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 11:50,EZ Pass S/D Z0,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 12:05,EZ Pass S/D Z3,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 12:10,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,1,Unlmtd,0,Success
1/19/16 12:14,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 12:29,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 12:29,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 12:37,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 12:47,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 12:56,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 12:57,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 12:58,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 12:58,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 13:01,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 13:18,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 13:21,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 13:23,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 13:26,Reg SV Regular,1.60E+14,N/A,3295,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,0.75,Unlmtd,,Success
1/19/16 13:37,EZ Pass AdultZ0,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0.9,Unlmtd,0,Success
1/19/16 13:39,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 13:40,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 13:42,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 13:43,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 13:46,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 14:00,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 14:01,EZ Pass AdultZ0,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 14:31,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 14:35,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 14:45,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 15:00,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 15:14,ASI,1.60E+14,N/A,3295,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 15:15,Reg SV Sr/Dis,1.60E+14,N/A,3295,SV Entry (Tag On),,1,0.35,0,-0.35,-0.35,1.35,Unlmtd,,Success
