Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
First Transit,3206,6,7,501001,51,6:07:21 AM,6:37:37 AM,0.4,23,7.6
First Transit,3206,6,38,501002,51,6:38:36 AM,7:03:07 AM,0.6,21,4.1
First Transit,3206,6,59,501003,52,7:03:22 AM,7:38:52 AM,4.4,36,3.9
First Transit,3206,7,44,501004,51,7:44:37 AM,8:11:37 AM,0.6,24,3.6
First Transit,3206,8,11,501005,51,8:12:07 AM,8:38:52 AM,1.1,25,2.9
First Transit,3206,8,49,501006,51,8:49:22 AM,9:15:22 AM,0.4,24,2.4
First Transit,3206,9,13,501007,51,9:15:37 AM,9:40:52 AM,2.6,25,2.9
First Transit,3206,9,45,501008,51,9:46:37 AM,10:10:37 AM,1.6,24,1.6
First Transit,3206,10,11,501009,51,10:11:22 AM,10:36:53 AM,0.4,26,-0.1
First Transit,3206,10,44,501010,51,10:44:37 AM,,0.6,26,
First Transit,3206,11,10,501011,51,11:16:52 AM,11:37:22 AM,6.9,26,1.4
First Transit,3206,11,49,501012,51,11:51:07 AM,12:16:52 PM,2.1,24,3.9
First Transit,3206,12,13,501013,51,12:17:07 PM,12:40:22 PM,4.1,26,1.4
First Transit,3206,14,45,602001,60,2:45:22 PM,3:06:53 PM,0.4,23,-1.1
First Transit,3206,15,8,602002,60,3:08:22 PM,3:28:52 PM,0.4,17,3.9
First Transit,3206,15,31,602003,60,3:30:39 PM,3:54:52 PM,-0.4,23,0.9
First Transit,3206,15,56,602004,60,3:56:22 PM,4:15:37 PM,0.4,19,0.6
First Transit,3206,16,18,602005,60,4:18:07 PM,4:40:53 PM,0.1,23,-0.1
First Transit,3206,16,45,602006,60,4:45:22 PM,5:03:23 PM,0.4,19,-0.6
First Transit,3206,17,17,602007,60,5:21:37 PM,5:45:22 PM,4.6,24,4.4
First Transit,3206,17,45,602008,60,5:45:52 PM,6:03:37 PM,0.9,18,0.6
First Transit,3206,18,6,602009,60,6:08:07 PM,6:30:52 PM,2.1,22,2.9
First Transit,3206,18,30,602010,60,6:31:07 PM,6:50:07 PM,1.1,17,3.1
First Transit,3206,18,47,602011,60,6:50:37 PM,7:07:38 PM,3.6,22,-1.4
First Transit,3206,19,13,602012,60,7:13:37 PM,7:35:07 PM,0.6,17,5.1
First Transit,3208,6,39,502001,51,6:39:45 AM,6:54:30 AM,0.8,16,-0.5
First Transit,3208,7,5,502002,51,7:06:00 AM,7:31:45 AM,1,24,2.8
First Transit,3208,7,29,502003,51,7:33:00 AM,7:58:30 AM,4,27,2.5
First Transit,3208,12,46,501101,51,12:46:00 PM,1:13:28 PM,0,24,3.5
First Transit,3208,13,13,501102,51,1:14:28 PM,1:38:14 PM,1.5,26,-0.8
First Transit,3208,13,46,501103,51,1:45:45 PM,,-0.3,24,
First Transit,3208,14,12,501104,51,2:13:58 PM,2:38:13 PM,2,26,0.2
First Transit,3208,14,45,501105,51,2:44:45 PM,3:12:58 PM,-0.3,25,3
First Transit,3208,15,12,501106,51,3:13:58 PM,3:46:43 PM,2,27,7.7
First Transit,3208,16,3,501107,51,4:04:13 PM,4:33:28 PM,1.2,28,2.5
First Transit,3208,16,34,501108,52,4:34:28 PM,5:09:28 PM,0.5,35,0.5
First Transit,3208,17,16,501109,51,5:17:43 PM,5:41:14 PM,1.7,26,-0.8
First Transit,3208,17,45,501110,51,5:45:13 PM,6:10:14 PM,0.2,27,-1.8
First Transit,3208,18,25,501111,51,,6:50:30 PM,,25,0.5
First Transit,3208,18,53,501112,52,6:53:15 PM,7:28:45 PM,0.3,35,0.8
First Transit,3208,19,34,501113,51,7:35:00 PM,8:00:30 PM,1,24,2.5
First Transit,3209,5,58,601001,60,5:59:51 AM,6:16:51 AM,1.9,18,0.9
First Transit,3209,6,20,601002,60,6:20:21 AM,6:38:07 AM,0.4,16,2.1
First Transit,3209,6,41,601003,60,6:41:22 AM,7:00:23 AM,0.4,20,-0.6
First Transit,3209,7,3,601004,60,7:03:37 AM,7:21:22 AM,0.6,17,1.4
First Transit,3209,7,33,601005,60,7:33:37 AM,8:00:07 AM,0.6,21,6.1
First Transit,3209,7,58,601006,60,8:01:22 AM,8:22:22 AM,3.4,18,6.4
First Transit,3209,8,23,601007,60,8:23:22 AM,8:48:52 AM,0.4,21,4.9
First Transit,3209,8,47,601008,60,8:49:22 AM,9:10:07 AM,2.4,17,6.1
First Transit,3209,9,12,601009,60,9:12:22 AM,9:33:22 AM,0.4,20,1.4
First Transit,3209,9,36,601010,60,9:36:22 AM,9:54:07 AM,0.4,17,1.1
First Transit,3209,9,58,601011,60,9:58:22 AM,10:19:37 AM,0.4,20,1.6
First Transit,3209,10,19,601012,60,10:20:52 AM,10:38:07 AM,1.9,17,2.1
First Transit,3209,16,0,502101,51,4:00:33 PM,4:26:47 PM,0.6,27,-0.2
First Transit,3209,16,33,502102,51,,4:59:17 PM,,28,-1.7
First Transit,3209,17,8,502103,51,,5:33:34 PM,,27,-1.4
First Transit,3209,17,48,502104,51,5:49:36 PM,6:13:51 PM,1.6,25,0.9
First Transit,3209,18,19,502105,51,6:19:36 PM,6:43:07 PM,0.6,27,-2.9
First Transit,3209,18,53,502106,51,,7:17:55 PM,,24,0.9
First Transit,3209,19,20,502107,51,7:20:25 PM,7:30:26 PM,0.4,11,-0.6
First Transit,3216,5,55,202001,20cw,5:55:38 AM,6:36:53 AM,0.6,41,0.9
First Transit,3216,6,46,202002,20cw,6:46:24 AM,7:33:39 AM,0.4,47,0.7
First Transit,3216,7,43,202003,20cw,7:43:24 AM,8:35:09 AM,0.4,52,0.2
First Transit,3216,8,51,202004,20cw,8:52:08 AM,9:46:24 AM,1.1,51,4.4
First Transit,3216,9,55,202005,20cw,9:55:38 AM,10:54:38 AM,0.6,51,8.6
First Transit,3216,10,58,202006,20cw,10:58:24 AM,11:57:54 AM,0.4,53,6.9
First Transit,3216,12,3,202007,20cw,12:03:53 PM,1:01:24 PM,0.9,55,3.4
First Transit,3216,13,10,202008,20cw,1:10:38 PM,2:06:53 PM,0.6,57,-0.1
First Transit,3216,14,19,202009,20cw,2:19:38 PM,3:19:39 PM,0.6,58,2.7
First Transit,3216,15,29,202010,20cw,3:32:24 PM,4:26:08 PM,3.4,58,-0.9
First Transit,3216,16,39,202011,20cw,4:41:24 PM,5:42:39 PM,2.4,57,6.7
First Transit,3216,17,48,202012,20cw,5:50:09 PM,6:37:23 PM,2.2,51,-1.6
First Transit,3216,18,57,202013,20cw,6:56:54 PM,7:40:39 PM,-0.1,46,-2.3
First Transit,3217,6,30,302001,32,6:31:21 AM,6:57:52 AM,1.4,25,2.9
First Transit,3217,7,6,302002,32,,7:37:57 AM,,28,4
First Transit,3217,7,34,302003,31,7:38:26 AM,8:09:12 AM,4.4,29,6.2
First Transit,3217,8,15,302004,32,8:16:27 AM,8:48:27 AM,1.5,29,4.5
First Transit,3217,8,44,302005,32,8:48:57 AM,9:16:57 AM,5,26,7
First Transit,3217,9,30,302006,32,9:31:27 AM,10:01:11 AM,1.5,27,4.2
First Transit,3217,9,57,302007,31,10:01:26 AM,10:28:42 AM,4.4,27,4.7
First Transit,3217,10,37,302008,31,10:39:27 AM,11:07:12 AM,2.5,29,1.2
First Transit,3217,11,6,302009,31,11:07:42 AM,11:43:41 AM,1.7,27,10.7
First Transit,3217,11,43,302010,32,11:45:42 AM,12:16:27 PM,2.7,31,2.5
First Transit,3217,12,14,302011,31,12:17:12 PM,12:44:42 PM,3.2,28,2.7
First Transit,3217,12,52,302012,32,12:54:12 PM,1:24:12 PM,2.2,32,0.2
First Transit,3217,13,24,302013,31,1:24:41 PM,1:53:27 PM,0.7,27,2.5
First Transit,3217,14,3,302014,31,2:04:42 PM,2:45:15 PM,1.7,36,6.3
First Transit,3217,14,39,302015,32,2:45:45 PM,3:12:15 PM,6.8,26,7.3
First Transit,3217,15,15,302016,31,3:16:15 PM,3:58:15 PM,1.3,41,2.3
First Transit,3217,15,56,302017,32,3:58:45 PM,4:23:30 PM,2.8,25,2.5
First Transit,3217,16,46,302018,32,4:46:45 PM,5:23:15 PM,0.8,37,0.3
First Transit,3217,17,23,302019,32,5:23:45 PM,5:50:30 PM,0.8,27,0.5
First Transit,3217,18,7,302020,32,6:07:45 PM,6:41:15 PM,0.8,34,0.3
First Transit,3217,18,41,302021,32,6:41:30 PM,7:06:15 PM,0.5,24,1.3
First Transit,3217,19,20,302022,32,7:20:30 PM,,0.5,28,
First Transit,3219,6,23,402001,40,6:23:33 AM,6:48:06 AM,0.6,26,-0.9
First Transit,3219,6,59,402002,40,7:01:20 AM,7:24:35 AM,2.3,23,2.6
First Transit,3219,7,27,402003,40,7:27:19 AM,7:58:05 AM,0.3,29,2.1
First Transit,3219,8,14,402004,40,8:15:49 AM,8:41:34 AM,1.8,23,4.6
First Transit,3219,8,40,402005,40,8:41:49 AM,9:09:49 AM,1.8,29,0.8
First Transit,3219,9,19,402006,40,9:22:04 AM,9:44:49 AM,3.1,23,2.8
First Transit,3219,9,45,402007,40,9:46:04 AM,10:23:19 AM,1.1,29,9.3
First Transit,3219,10,24,402008,40,10:27:04 AM,10:52:34 AM,3.1,24,4.6
First Transit,3219,10,51,402009,40,10:53:04 AM,11:24:19 AM,2.1,28,5.3
First Transit,3219,11,29,402010,40,11:31:34 AM,11:53:50 AM,2.6,25,-0.2
First Transit,3219,11,57,402011,40,11:57:49 AM,12:28:34 PM,0.8,28,3.6
First Transit,3219,12,38,402012,40,12:39:06 PM,1:07:37 PM,1.1,25,4.6
First Transit,3219,13,5,402013,40,1:08:07 PM,1:42:52 PM,3.1,29,8.9
First Transit,3219,13,44,402014,40,1:45:22 PM,2:10:37 PM,1.4,25,1.6
First Transit,3219,14,11,402015,40,2:11:24 PM,2:42:07 PM,0.4,28,3.1
First Transit,3219,14,49,402016,40,2:50:22 PM,3:21:07 PM,1.4,27,5.1
First Transit,3219,15,19,402017,40,3:21:37 PM,3:55:54 PM,2.6,29,7.9
First Transit,3219,15,58,402018,40,3:59:07 PM,4:30:07 PM,1.1,27,5.1
First Transit,3219,16,28,402019,40,4:30:39 PM,5:00:22 PM,2.7,29,3.4
First Transit,3219,17,7,402020,40,5:08:07 PM,5:34:52 PM,1.1,28,-0.1
First Transit,3219,17,38,402021,40,5:38:52 PM,6:11:52 PM,0.9,29,4.9
First Transit,3219,18,17,402022,40,6:18:06 PM,6:42:38 PM,1.1,26,-0.4
First Transit,3219,18,43,402023,40,6:43:38 PM,7:11:07 PM,0.6,26,2.1
First Transit,3219,19,17,402024,40,7:17:52 PM,7:39:53 PM,0.9,23,-0.1
First Transit,3220,5,59,103001,10,5:59:51 AM,6:13:06 AM,0.9,15,-0.9
First Transit,3220,6,14,103002,10,6:14:20 AM,6:33:51 AM,0.3,19,0.9
