Trip Date,19,,,,,,,,,
Day,All,,,,,,,,,
,,,,,,,,,,
,,,,,,Data,,,,
Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
First Transit,2210,7,12,304001,31,7:12:20 AM,7:42:51 AM,0.3,29.0,1.9
,,15,26,204001,20cw,3:27:24 PM,3:58:54 PM,1.4,32.0,0.9
,3058,6,39,502001,51,6:39:43 AM,6:58:12 AM,0.7,16.0,3.2
,,7,5,502002,51,7:06:27 AM,7:34:42 AM,1.5,24.0,5.7
,,,29,502003,51,7:35:12 AM,8:07:12 AM,6.2,27.0,11.2
,,16,0,502101,51,4:00:24 PM,4:25:55 PM,0.4,27.0,-1.1
,,,33,502102,51,4:33:39 PM,5:01:09 PM,0.7,28.0,0.2
,,17,8,502103,51,5:08:09 PM,5:35:24 PM,0.2,27.0,0.4
,,,48,502104,51,5:48:39 PM,6:14:09 PM,0.7,25.0,1.2
,,18,19,502105,51,6:19:39 PM,6:44:40 PM,0.7,27.0,-1.3
,,,53,502106,51,6:53:39 PM,7:16:55 PM,0.7,24.0,-0.1
,,19,20,502107,51,7:20:54 PM,7:31:24 PM,0.9,11.0,0.4
,3208,5,58,601001,60,6:01:39 AM,6:17:38 AM,3.7,18.0,1.6
,,6,20,601002,60,6:18:39 AM,,-1.4,16.0,
,,,41,601003,60,,6:59:50 AM,,20.0,-1.2
,,7,3,601004,60,7:01:06 AM,,-1.9,17.0,
,,,33,601005,60,,7:57:07 AM,,21.0,3.1
,,,58,601006,60,7:57:54 AM,8:23:07 AM,-0.1,18.0,7.1
,,8,23,601007,60,8:23:22 AM,8:45:53 AM,0.4,21.0,1.9
,,,47,601008,60,8:46:24 AM,9:12:23 AM,-0.6,17.0,8.4
,,9,12,601009,60,9:12:39 AM,9:32:24 AM,0.7,20.0,0.4
,,,36,601010,60,9:32:41 AM,9:58:54 AM,-3.3,17.0,5.9
,,,58,601011,60,9:59:08 AM,10:18:24 AM,1.1,20.0,0.4
,,10,19,601012,60,10:19:24 AM,,0.4,17.0,
,,12,46,501101,51,12:48:01 PM,1:14:46 PM,2.0,24.0,4.8
,,13,13,501102,51,1:15:01 PM,1:40:31 PM,2.0,26.0,1.5
,,,46,501103,51,1:47:46 PM,2:13:01 PM,1.8,24.0,3.0
,,14,12,501104,51,2:13:31 PM,2:39:01 PM,1.5,26.0,1.0
,,,45,501105,51,2:46:16 PM,3:12:01 PM,1.3,25.0,2.0
,,15,12,501106,51,3:13:16 PM,3:38:32 PM,1.3,27.0,-0.5
,,16,3,501107,51,4:04:12 PM,4:31:12 PM,1.2,28.0,0.2
,,,34,501108,52,4:34:27 PM,5:16:30 PM,0.5,35.0,7.5
,,17,16,501109,51,5:16:45 PM,5:41:43 PM,0.8,26.0,-0.3
,,,45,501110,51,5:46:27 PM,6:10:58 PM,1.5,27.0,-1.0
,,18,25,501111,51,6:26:12 PM,6:51:27 PM,1.2,25.0,1.5
,,,53,501112,52,6:53:56 PM,7:34:56 PM,0.9,35.0,6.9
,,19,34,501113,51,7:35:12 PM,7:57:11 PM,1.2,24.0,-0.8
,3209,6,7,501001,51,6:08:01 AM,,1.0,23.0,
,,,38,501002,51,,7:03:18 AM,,21.0,4.3
