Trip Date,29,,,,,,,,,
Day,All,,,,,,,,,
,,,,,,,,,,
,,,,,,Data,,,,
Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
First Transit,2210,7,12,304001,31,7:13:04 AM,7:46:03 AM,1.1,29.0,5.1
,3058,5,58,601001,60,5:59:24 AM,6:18:24 AM,1.4,18.0,2.4
,,6,20,601002,60,6:20:39 AM,6:36:24 AM,0.7,16.0,0.4
,,,41,601003,60,6:41:24 AM,7:00:55 AM,0.4,20.0,-0.1
,,7,3,601004,60,7:03:24 AM,7:21:24 AM,0.4,17.0,1.4
,,,33,601005,60,7:33:54 AM,7:55:54 AM,0.9,21.0,1.9
,,,58,601006,60,7:58:54 AM,8:18:09 AM,0.9,18.0,2.2
,,8,23,601007,60,8:23:24 AM,8:45:39 AM,0.4,21.0,1.7
,,,47,601008,60,8:47:39 AM,9:12:09 AM,0.7,17.0,8.2
,,9,12,601009,60,9:12:39 AM,9:31:40 AM,0.7,20.0,-0.3
,,,36,601010,60,9:35:56 AM,9:58:24 AM,-0.1,17.0,5.4
,,,58,601011,60,9:58:39 AM,10:15:40 AM,0.7,20.0,-2.3
,,10,19,601012,60,10:19:24 AM,10:38:09 AM,0.4,17.0,2.2
,,16,0,502101,51,4:00:24 PM,4:25:53 PM,0.4,27.0,-1.1
,,,33,502102,51,4:34:08 PM,5:01:38 PM,1.1,28.0,0.6
,,17,8,502103,51,5:08:53 PM,5:34:23 PM,0.9,27.0,-0.6
,,,48,502104,51,5:46:58 PM,6:17:26 PM,-1.0,25.0,4.4
,,18,19,502105,51,6:19:41 PM,6:43:27 PM,0.7,27.0,-2.5
,,,53,502106,51,6:53:41 PM,7:17:41 PM,0.7,24.0,0.7
,,19,20,502107,51,7:21:27 PM,7:33:27 PM,1.5,11.0,2.5
,3208,6,39,502001,51,6:39:52 AM,6:55:52 AM,0.9,16.0,0.9
,,7,5,502002,51,7:05:51 AM,7:31:35 AM,0.9,24.0,2.6
,,,29,502003,51,7:32:20 AM,7:58:50 AM,3.3,27.0,2.8
,,14,45,602001,60,2:45:00 PM,3:11:28 PM,0.0,23.0,3.5
,,15,8,602002,60,3:12:13 PM,3:36:28 PM,4.2,17.0,11.5
,,,31,602003,60,3:36:43 PM,,5.7,23.0,
,,,56,602004,60,4:00:13 PM,4:18:28 PM,4.2,19.0,3.5
,,16,18,602005,60,4:18:43 PM,4:41:43 PM,0.7,23.0,0.7
,,,45,602006,60,4:45:13 PM,5:03:44 PM,0.2,19.0,-0.3
,,17,17,602007,60,,5:41:00 PM,,24.0,0.0
,,,45,602008,60,5:45:15 PM,6:04:15 PM,0.3,18.0,1.3
,,18,6,602009,60,6:04:32 PM,6:27:16 PM,-1.5,22.0,-0.7
,,,30,602010,60,6:30:15 PM,,0.3,17.0,
,,,47,602011,60,6:48:45 PM,7:08:16 PM,1.8,22.0,-0.7
