Trip Date,29,,,,,,,,,
Day,All,,,,,,,,,
,,,,,,,,,,
,,,,,,Data,,,,
,,19,13,602012,60,7:13:30 PM,7:31:15 PM,0.5,17.0,1.3
,3209,6,7,501001,51,6:08:04 AM,6:30:19 AM,1.1,23.0,0.3
,,,38,501002,51,6:38:49 AM,7:00:19 AM,0.8,21.0,1.3
,,,59,501003,52,7:01:19 AM,7:36:49 AM,2.3,36.0,1.8
,,7,44,501004,51,7:44:34 AM,,0.6,24.0,
,,8,11,501005,51,8:12:04 AM,8:36:19 AM,1.1,25.0,0.3
,,,49,501006,51,8:49:26 AM,9:11:13 AM,0.4,24.0,-1.8
,,9,13,501007,51,9:13:27 AM,9:37:41 AM,0.5,25.0,-0.3
,,,45,501008,51,9:45:26 AM,10:10:27 AM,0.4,24.0,1.5
,,10,11,501009,51,10:11:26 AM,10:36:56 AM,0.4,26.0,-0.1
,,,44,501010,51,10:45:31 AM,11:08:47 AM,1.5,26.0,-1.2
,,11,10,501011,51,11:10:16 AM,11:37:02 AM,0.3,26.0,1.0
,,,49,501012,51,,12:17:43 PM,,24.0,4.7
,,12,13,501013,51,12:18:00 PM,12:41:15 PM,5.0,26.0,2.3
,3210,12,46,501101,51,12:47:57 PM,1:11:43 PM,2.0,24.0,1.7
,,13,13,501102,51,1:13:28 PM,1:37:59 PM,0.5,26.0,-1.0
,,,46,501103,51,1:50:13 PM,2:18:13 PM,4.2,24.0,8.2
,,14,12,501104,51,2:18:28 PM,2:42:13 PM,6.5,26.0,4.2
,,,45,501105,51,2:46:28 PM,3:18:57 PM,1.5,25.0,9.0
,,15,12,501106,51,3:21:13 PM,3:49:43 PM,9.2,27.0,10.7
,,16,3,501107,51,4:03:28 PM,4:33:42 PM,0.5,28.0,2.7
,,,34,501108,52,4:34:12 PM,5:10:27 PM,0.2,35.0,1.5
,,17,16,501109,51,5:16:27 PM,5:44:12 PM,0.5,26.0,2.2
,,,45,501110,51,5:45:12 PM,6:03:43 PM,0.2,27.0,-8.3
,,18,25,501111,51,6:25:27 PM,6:52:27 PM,0.5,25.0,2.5
,,,53,501112,52,6:53:27 PM,7:28:12 PM,0.5,35.0,0.2
,,19,34,501113,51,7:34:27 PM,7:58:42 PM,0.5,24.0,0.7
,3216,5,55,301001,31,5:57:15 AM,6:18:46 AM,2.3,24.0,-0.2
,,6,29,301002,31,6:29:45 AM,6:58:16 AM,0.8,32.0,-2.7
,,7,1,301003,31,7:01:15 AM,7:30:45 AM,0.3,29.0,0.8
,,,38,301004,31,7:38:45 AM,8:11:15 AM,0.8,29.0,4.3
,,8,7,301005,31,8:11:30 AM,8:41:00 AM,4.5,29.0,5.0
,,,46,301006,31,8:47:00 AM,9:18:00 AM,1.0,29.0,3.0
,,9,15,301007,31,9:18:30 AM,9:46:00 AM,3.5,28.0,3.0
,,,53,301008,31,9:54:15 AM,10:27:30 AM,1.3,29.0,5.5
,,10,22,301009,31,10:28:00 AM,10:51:15 AM,6.0,27.0,2.3
,,,59,301010,32,11:01:00 AM,11:31:16 AM,2.0,31.0,1.3
,,11,30,301011,31,11:31:46 AM,11:59:01 AM,1.8,28.0,1.0
,,12,8,301012,31,12:09:46 PM,12:42:01 PM,1.8,34.0,0.0
,,,42,301013,31,12:42:31 PM,1:08:02 PM,0.5,27.0,-1.0
,,13,19,301014,31,1:19:46 PM,1:55:31 PM,0.8,36.0,0.5
,,,55,301015,31,1:55:46 PM,2:22:16 PM,0.8,27.0,0.3
,,14,32,301016,31,2:33:01 PM,3:12:16 PM,1.0,40.0,0.3
,,15,12,301017,31,3:13:01 PM,3:47:01 PM,1.0,29.0,6.0
,,,51,301018,31,3:51:46 PM,4:30:17 PM,0.8,40.0,-0.7
,,16,31,301019,31,4:31:16 PM,5:01:16 PM,0.3,28.0,2.3
,,17,9,301020,31,5:10:01 PM,5:50:31 PM,1.0,39.0,2.5
,,,48,301021,32,5:51:01 PM,6:13:31 PM,3.0,24.0,1.5
,,18,37,301022,31,6:37:46 PM,7:11:17 PM,0.8,35.0,-0.7
,,19,12,301023,32,7:12:16 PM,7:35:01 PM,0.3,23.0,0.0
,3217,6,48,403001,40,6:49:00 AM,7:17:45 AM,1.0,28.0,1.8
,,7,26,403002,40,7:29:00 AM,7:53:00 AM,3.0,23.0,4.0
,,,52,403003,40,7:53:30 AM,8:28:15 AM,1.5,28.0,8.3
,,8,30,403004,40,8:31:00 AM,8:53:30 AM,1.0,23.0,0.5
,3218,5,41,293001,20cc,5:41:52 AM,6:36:07 AM,0.9,55.0,0.1
,,6,36,293002,20cc,6:36:37 AM,7:32:22 AM,0.6,56.0,0.4
,,7,32,293003,20cc,7:32:37 AM,8:38:38 AM,0.6,67.0,-0.4
,,8,39,293004,20cc,8:39:22 AM,9:49:52 AM,0.4,69.0,1.9
,,9,48,293005,20cc,9:50:52 AM,10:57:46 AM,2.9,70.0,-0.2
,,10,58,293006,20cc,10:58:30 AM,12:11:31 PM,0.5,73.0,0.5
,,12,11,293007,20cc,12:11:45 PM,1:24:15 PM,0.8,73.0,0.3
,,13,24,293008,20cc,1:24:31 PM,,0.5,75.0,
,,14,39,293009,20cc,,3:55:04 PM,,72.0,4.1
,,15,51,293010,20cc,3:56:04 PM,5:02:04 PM,5.1,70.0,1.1
,,17,1,293011,20cc,5:02:49 PM,6:11:49 PM,1.8,68.0,2.8
,,18,9,293012,20cc,6:12:04 PM,,3.1,56.0,
,,19,5,293013,20cc,7:14:04 PM,,9.1,46.0,
,3219,5,54,202001,20cw,5:56:40 AM,6:34:54 AM,2.7,40.0,0.9
,,6,45,202002,20cw,6:46:09 AM,7:32:54 AM,1.2,47.0,0.9
,,7,42,202003,20cw,7:42:39 AM,8:36:39 AM,0.7,54.0,0.7
,,8,51,202004,20cw,8:51:24 AM,9:44:40 AM,0.4,54.0,-0.3
,,9,55,202005,20cw,9:55:24 AM,10:49:09 AM,0.4,54.0,0.2
,,10,59,202006,20cw,10:59:54 AM,11:55:11 AM,0.9,57.0,-0.8
,,12,6,202007,20cw,12:06:25 PM,1:11:55 PM,0.4,59.0,6.9
,,13,15,202008,20cw,1:17:10 PM,2:15:25 PM,2.2,60.0,0.4
,,14,25,202009,20cw,2:25:55 PM,3:27:10 PM,0.9,62.0,0.2
,,15,37,202010,20cw,3:39:10 PM,4:36:11 PM,2.2,60.0,-0.8
,,16,47,202011,20cw,4:47:40 PM,5:52:25 PM,0.7,61.0,4.4
,,17,58,202012,20cw,5:58:55 PM,6:52:10 PM,0.9,53.0,1.2
,,19,1,202013,20cw,7:01:55 PM,7:51:25 PM,0.9,47.0,3.4
,3220,5,50,101001,10,5:52:05 AM,6:07:50 AM,2.1,18.0,-0.2
,,6,15,101002,10,6:15:51 AM,6:33:05 AM,0.9,15.0,3.1
,,,30,101003,10,6:33:20 AM,6:52:05 AM,3.3,19.0,3.1
,,7,2,101004,10,7:02:20 AM,7:20:20 AM,0.3,18.0,0.3
,,,20,101005,10,7:20:36 AM,7:42:36 AM,0.6,21.0,1.6
,,,48,101006,10,7:48:36 AM,,0.6,18.0,
,,8,6,101007,10,8:08:35 AM,8:29:05 AM,2.6,21.0,2.1
,,,34,101008,10,8:35:51 AM,8:58:50 AM,1.9,17.0,7.8
,,,51,101009,10,8:59:06 AM,9:20:05 AM,8.1,22.0,7.1
,,9,20,101010,10,9:23:50 AM,,3.8,18.0,
,,,38,101011,10,9:42:35 AM,10:05:35 AM,4.6,22.0,5.6
,,10,7,101012,10,10:09:20 AM,,2.3,20.0,
,,,27,101013,10,10:29:20 AM,10:52:20 AM,2.3,23.0,2.3
,,11,3,101014,10,11:07:05 AM,,4.1,20.0,
,,,23,101015,10,11:30:36 AM,11:52:21 AM,7.6,24.0,5.4
,,,54,101016,10,11:54:51 AM,12:16:21 PM,0.9,21.0,1.4
,,12,18,101017,10,12:18:36 PM,12:46:21 PM,0.6,24.0,4.4
,,,49,101018,10,12:52:36 PM,1:13:06 PM,3.6,21.0,3.1
,,13,12,101019,10,1:13:51 PM,1:43:06 PM,1.9,24.0,7.1
,,,49,101020,10,1:50:21 PM,2:11:36 PM,1.4,20.0,2.6
,,14,9,101021,10,2:12:21 PM,2:36:21 PM,3.4,24.0,3.4
,,,40,101022,10,2:41:21 PM,2:59:52 PM,1.4,20.0,-0.1
,,15,4,101023,10,3:04:36 PM,3:27:21 PM,0.6,23.0,0.4
,,,34,101024,10,3:34:51 PM,4:00:06 PM,0.9,21.0,5.1
,,,58,101025,10,4:00:21 PM,4:26:36 PM,2.4,23.0,5.6
,,16,28,101026,10,4:29:06 PM,4:51:20 PM,1.1,20.0,3.3
,,,51,101027,10,4:51:36 PM,5:21:51 PM,0.6,26.0,4.9
,,17,24,101028,10,5:24:36 PM,,0.6,20.0,
,,,46,101029,10,5:47:06 PM,6:15:51 PM,1.1,24.0,5.9
,,18,17,101030,10,6:17:51 PM,6:38:51 PM,0.9,20.0,1.9
,,,40,101031,10,6:40:20 PM,7:06:05 PM,0.3,22.0,4.1
,,19,9,101032,10,7:09:21 PM,7:31:20 PM,0.4,18.0,4.3
,3221,7,23,303001,32,7:23:28 AM,7:51:13 AM,0.5,26.0,2.2
,,,59,303002,32,7:59:58 AM,8:28:28 AM,1.0,29.0,0.5
,,8,28,303003,31,8:28:43 AM,8:59:13 AM,0.7,29.0,2.2
,,9,8,303004,31,9:08:43 AM,9:38:13 AM,0.7,29.0,1.2
,,,37,303005,32,9:38:43 AM,10:06:28 AM,1.7,26.0,3.5
,,10,15,303006,32,10:16:42 AM,10:44:43 AM,1.7,27.0,2.7
,,,42,303007,32,10:44:58 AM,11:07:58 AM,3.0,25.0,1.0
,,11,20,303008,31,11:20:45 AM,11:54:45 AM,0.8,35.0,-0.3
,,,55,303009,32,11:55:13 AM,12:21:13 PM,0.2,25.0,1.2
,,12,30,303010,31,12:30:58 PM,1:05:29 PM,1.0,36.0,-0.5
,,13,6,303011,32,1:06:13 PM,1:36:43 PM,0.2,26.0,4.7
,,,45,303012,32,1:45:58 PM,2:20:59 PM,1.0,36.0,0.0
,,14,21,303013,31,2:21:28 PM,2:52:13 PM,0.5,27.0,4.2
,,15,6,303014,32,3:07:13 PM,3:46:13 PM,1.2,39.0,1.2
,,,45,303015,31,3:46:43 PM,4:14:13 PM,1.7,29.0,0.2
,,16,24,303016,31,4:24:58 PM,5:02:44 PM,1.0,39.0,-0.3
,,17,3,303017,32,5:03:28 PM,5:32:13 PM,0.5,27.0,2.2
,,,40,303018,31,5:41:13 PM,6:16:44 PM,1.2,37.0,-0.3
,,18,17,303019,31,6:17:28 PM,6:45:43 PM,0.5,26.0,2.7
,,19,3,303020,31,7:03:58 PM,7:33:28 PM,1.0,30.0,0.5
,3222,6,0,401001,40,6:00:07 AM,6:25:38 AM,0.1,26.0,-0.4
,,,36,401002,40,6:36:52 AM,6:59:22 AM,0.9,23.0,0.4
,,7,2,401003,40,7:02:22 AM,7:31:52 AM,0.4,29.0,0.9
,,,41,401004,40,7:41:37 AM,8:04:52 AM,0.6,23.0,0.9
,,8,7,401005,40,8:07:22 AM,8:38:07 AM,0.4,29.0,2.1
,,,46,401006,40,8:46:52 AM,9:09:07 AM,0.9,23.0,0.1
,,9,12,401007,40,9:12:22 AM,9:39:38 AM,0.4,29.0,-1.4
,,,51,401008,40,9:52:22 AM,10:16:22 AM,1.4,24.0,1.4
,,10,18,401009,40,10:19:07 AM,10:51:22 AM,1.1,28.0,5.4
,,,56,401010,40,10:57:22 AM,11:21:09 AM,1.4,25.0,0.2
,,11,24,401011,40,11:25:08 AM,11:52:38 AM,1.1,28.0,0.6
,,12,5,401012,40,12:06:23 PM,12:34:54 PM,1.4,25.0,4.9
,,,32,401013,40,12:35:39 PM,1:03:39 PM,3.7,29.0,2.7
,,13,11,401014,40,1:12:23 PM,1:42:24 PM,1.4,25.0,6.4
,,,39,401015,40,1:44:54 PM,2:13:39 PM,5.9,28.0,6.7
,,14,17,401016,40,2:18:38 PM,2:44:39 PM,1.6,25.0,2.7
,,,48,401017,40,2:49:38 PM,3:19:54 PM,1.6,29.0,2.9
,,15,27,401018,40,3:28:38 PM,3:56:09 PM,1.6,27.0,2.2
,,16,0,401019,40,4:00:24 PM,4:31:09 PM,0.4,29.0,2.2
,,,45,401020,40,4:45:53 PM,5:11:23 PM,0.9,27.0,-0.6
,,17,15,401021,40,5:15:38 PM,5:43:39 PM,0.6,29.0,-0.3
,,,54,401022,40,5:54:53 PM,6:20:12 PM,0.9,26.0,0.2
,,18,20,401023,40,6:21:27 PM,6:50:12 PM,1.5,27.0,3.2
,,,55,401024,40,6:55:56 PM,7:21:27 PM,0.9,23.0,3.5
,,19,18,401025,40,7:22:11 PM,7:47:57 PM,4.2,26.0,4.0
,3223,6,30,302001,32,6:31:03 AM,6:54:49 AM,1.1,25.0,-0.2
,,7,6,302002,32,7:06:48 AM,7:38:18 AM,0.8,28.0,4.3
,,,34,302003,31,7:39:03 AM,8:07:03 AM,5.1,29.0,4.1
,,8,15,302004,32,8:16:18 AM,8:44:48 AM,1.3,29.0,0.8
,,,44,302005,32,8:45:33 AM,9:12:48 AM,1.6,26.0,2.8
,,9,30,302006,32,9:32:03 AM,9:57:33 AM,2.1,27.0,0.6
,,,57,302007,31,9:58:03 AM,10:21:49 AM,1.1,27.0,-2.2
,,10,37,302008,31,10:38:03 AM,11:10:03 AM,1.1,29.0,4.1
,,11,6,302009,31,11:10:34 AM,11:44:34 AM,4.6,27.0,11.6
,,,43,302010,32,11:45:34 AM,12:12:20 PM,2.6,31.0,-1.7
,,12,14,302011,31,12:14:19 PM,12:42:19 PM,0.3,28.0,0.3
,,,52,302012,32,12:52:34 PM,1:22:36 PM,0.6,32.0,-1.4
,,13,24,302013,31,1:24:06 PM,1:48:37 PM,0.1,27.0,-2.4
,,14,3,302014,31,2:03:36 PM,2:40:38 PM,0.6,36.0,1.6
,,,39,302015,32,2:40:53 PM,3:09:40 PM,1.9,26.0,4.7
,,15,15,302016,31,3:16:31 PM,3:56:16 PM,1.5,41.0,0.3
,,,56,302017,32,3:56:31 PM,4:24:01 PM,0.5,25.0,3.0
,,16,46,302018,32,4:47:01 PM,,1.0,37.0,
,,17,23,302019,32,5:23:31 PM,5:49:47 PM,0.5,27.0,-0.2
,,18,7,302020,32,6:07:46 PM,6:41:01 PM,0.8,34.0,0.0
,,,41,302021,32,6:41:46 PM,7:07:46 PM,0.8,24.0,2.8
,,19,20,302022,32,7:20:46 PM,7:49:01 PM,0.8,28.0,1.0
,3224,6,23,402001,40,6:23:28 AM,6:47:44 AM,0.5,26.0,-1.3
,,,59,402002,40,6:59:43 AM,7:21:44 AM,0.7,23.0,-0.3
,,7,27,402003,40,7:27:28 AM,7:58:43 AM,0.5,29.0,2.7
,,8,14,402004,40,8:16:00 AM,8:38:30 AM,2.0,23.0,1.5
,,,40,402005,40,8:40:30 AM,9:09:15 AM,0.5,29.0,0.3
,,9,19,402006,40,9:19:45 AM,9:42:33 AM,0.8,23.0,0.6
,,,45,402007,40,9:45:18 AM,10:13:34 AM,0.3,29.0,-0.4
,,10,24,402008,40,10:25:18 AM,10:50:18 AM,1.3,24.0,2.3
,,,51,402009,40,10:51:18 AM,11:21:04 AM,0.3,28.0,2.1
,,11,29,402010,40,11:30:04 AM,11:57:19 AM,1.1,25.0,3.3
,,,57,402011,40,11:57:49 AM,12:25:34 PM,0.8,28.0,0.6
,,12,38,402012,40,12:38:49 PM,1:05:49 PM,0.8,25.0,2.8
,,13,5,402013,40,1:06:49 PM,1:33:35 PM,1.8,29.0,-0.4
,,,44,402014,40,1:44:49 PM,2:09:49 PM,0.8,25.0,0.8
,,14,11,402015,40,2:11:34 PM,2:38:50 PM,0.6,28.0,-0.2
,,,49,402016,40,2:50:49 PM,3:16:19 PM,1.8,27.0,0.3
,,15,19,402017,40,3:19:34 PM,3:52:34 PM,0.6,29.0,4.6
,,,58,402018,40,3:59:34 PM,4:30:48 PM,1.6,27.0,5.8
,,16,28,402019,40,4:31:49 PM,5:00:04 PM,3.8,29.0,3.1
,,17,7,402020,40,5:09:34 PM,5:36:49 PM,2.6,28.0,1.8
,,,38,402021,40,5:38:34 PM,6:06:50 PM,0.6,29.0,-0.2
,,18,17,402022,40,6:18:34 PM,6:44:48 PM,1.6,26.0,1.8
,,,43,402023,40,6:45:33 PM,7:12:34 PM,2.6,26.0,3.6
,,19,17,402024,40,7:19:48 PM,7:42:18 PM,2.8,23.0,2.3
,3225,15,10,403101,40,3:13:03 PM,3:43:18 PM,3.1,27.0,6.3
,,,40,403102,40,3:47:18 PM,4:22:48 PM,7.3,28.0,14.8
,,16,21,403103,40,4:24:48 PM,4:55:03 PM,3.8,27.0,7.1
,,,51,403104,40,4:55:33 PM,5:26:48 PM,4.6,29.0,6.8
,,17,30,403105,40,5:33:18 PM,6:01:48 PM,3.3,28.0,3.8
,3292,6,3,291001,20cc,6:03:30 AM,,0.5,56.0,
,,,59,291002,20cc,7:00:15 AM,,1.3,61.0,
,,9,7,291004,20cc,,10:15:08 AM,,67.0,1.1
,,10,14,291005,20cc,,11:24:57 AM,,69.0,2.0
,,11,23,291006,20cc,,,,72.0,
,,12,35,291007,20cc,,1:53:52 PM,,72.0,6.9
,,13,47,291008,20cc,,3:01:16 PM,,74.0,0.3
,,15,1,291009,20cc,3:01:46 PM,,0.8,72.0,
,,16,13,291010,20cc,4:14:06 PM,,1.1,70.0,
,,17,23,291011,20cc,,,,67.0,
,,18,30,291012,20cc,,7:26:56 PM,,56.0,0.9
,,19,26,291013,20cc,7:27:12 PM,,1.2,46.0,
,3293,6,12,292001,20cc,6:12:20 AM,7:07:51 AM,0.3,57.0,-1.1
,,7,9,292002,20cc,7:09:36 AM,8:19:35 AM,0.6,71.0,-0.4
,,8,20,292003,20cc,8:20:36 AM,9:29:50 AM,0.6,67.0,2.8
,,9,27,292004,20cc,9:30:35 AM,10:34:50 AM,3.6,68.0,-0.2
,,10,35,292005,20cc,10:35:20 AM,11:46:21 AM,0.3,71.0,0.4
,,11,46,292006,20cc,11:47:21 AM,12:59:51 PM,1.4,73.0,0.9
,,12,59,292007,20cc,1:00:21 PM,2:10:52 PM,1.4,72.0,-0.1
,,14,11,292008,20cc,2:11:36 PM,3:29:06 PM,0.6,72.0,6.1
,,15,23,292009,20cc,3:29:51 PM,4:44:36 PM,6.9,75.0,6.6
,,16,38,292010,20cc,4:45:36 PM,5:52:51 PM,7.6,67.0,7.9
,,17,45,292011,20cc,5:53:36 PM,6:50:06 PM,8.6,64.0,1.1
,,18,49,292012,20cc,6:50:21 PM,,1.4,47.0,
,3294,5,59,103001,10,6:00:07 AM,,1.1,15.0,
,,6,14,103002,10,6:15:38 AM,6:33:38 AM,1.6,19.0,0.6
,,,40,103003,10,6:40:38 AM,,0.6,15.0,
,,,55,103004,10,6:57:39 AM,7:16:24 AM,2.7,21.0,0.4
,,7,29,103005,10,7:30:52 AM,7:50:22 AM,1.9,18.0,3.4
,,,51,103006,10,7:51:24 AM,8:15:07 AM,0.4,21.0,3.1
,,8,19,103007,10,8:19:52 AM,8:40:24 AM,0.9,17.0,4.4
,,,36,103008,10,8:41:07 AM,9:05:38 AM,5.1,21.0,8.6
,,9,4,103009,10,9:06:24 AM,,2.4,18.0,
,,,22,103010,10,9:27:09 AM,9:48:54 AM,5.2,23.0,3.9
,,,52,103011,10,9:52:37 AM,10:12:52 AM,0.6,19.0,1.9
,,10,11,103012,10,10:13:09 AM,10:35:07 AM,2.2,23.0,1.1
,,,41,103013,10,10:41:22 AM,,0.4,21.0,
,,11,2,103014,10,11:04:07 AM,11:26:53 AM,2.1,24.0,0.9
,,,39,103015,10,11:39:53 AM,12:01:24 PM,0.9,20.0,2.4
,,12,1,103016,10,12:01:38 PM,12:27:24 PM,0.6,24.0,2.4
,,,32,103017,10,12:32:09 PM,,0.2,21.0,
,,,55,103018,10,12:55:09 PM,1:19:38 PM,0.2,24.0,0.6
,,13,26,103019,10,1:26:24 PM,1:46:24 PM,0.4,20.0,0.4
,,,48,103020,10,1:48:24 PM,2:11:23 PM,0.4,24.0,-0.6
,,14,25,103021,10,2:25:24 PM,,0.4,20.0,
,,,47,103022,10,2:47:38 PM,3:11:24 PM,0.6,24.0,0.4
,,15,18,103023,10,3:18:38 PM,3:38:53 PM,0.6,21.0,-0.1
,,,41,103024,10,3:41:09 PM,4:04:09 PM,0.2,23.0,0.2
,,16,11,103025,10,4:15:09 PM,4:37:24 PM,4.2,20.0,6.4
,,,36,103026,10,4:38:09 PM,5:04:09 PM,2.2,23.0,5.2
,,17,6,103027,10,5:10:39 PM,5:36:08 PM,4.7,20.0,10.1
,,,28,103028,10,5:36:53 PM,5:59:09 PM,8.9,26.0,5.2
,,18,1,103029,10,6:02:08 PM,6:21:38 PM,1.1,20.0,0.6
,,,23,103030,10,6:24:53 PM,6:48:54 PM,1.9,22.0,3.9
,,,52,103031,10,6:54:39 PM,7:14:39 PM,2.7,19.0,3.7
,,19,18,103032,10,7:19:08 PM,7:40:09 PM,1.1,22.0,0.2
,,,47,103033,10,7:48:38 PM,8:05:39 PM,1.6,15.0,3.7
,3295,6,15,203001,20cw,6:15:51 AM,7:00:20 AM,0.9,41.0,4.3
,,7,6,203002,20cw,7:06:51 AM,8:00:20 AM,0.9,50.0,4.3
,,8,7,203003,20cw,8:07:20 AM,9:05:05 AM,0.3,54.0,4.1
,,9,12,203004,20cw,9:13:00 AM,10:12:50 AM,1.0,54.0,6.8
,,10,16,203005,20cw,10:17:36 AM,11:11:06 AM,1.6,55.0,0.1
,,11,21,203006,20cw,11:21:36 AM,12:20:25 PM,0.6,56.0,3.4
,,12,27,203007,20cw,12:28:25 PM,1:28:55 PM,1.4,60.0,1.9
,,13,37,203008,20cw,1:37:39 PM,2:47:56 PM,0.7,60.0,10.9
,,14,47,203009,20cw,2:48:55 PM,3:48:25 PM,1.9,61.0,0.4
,,16,0,203010,20cw,4:01:24 PM,5:00:25 PM,1.4,60.0,0.4
,,17,10,203011,20cw,5:10:24 PM,6:09:10 PM,0.4,59.0,0.2
,,18,19,203012,20cw,6:19:24 PM,7:08:10 PM,0.4,49.0,0.2
,,19,14,203013,20cw,7:15:39 PM,8:00:40 PM,1.7,47.0,-0.3
,3296,6,5,201001,20cw,6:06:07 AM,6:17:22 AM,1.1,12.0,0.4
,,,32,201002,20cw,6:33:22 AM,7:19:22 AM,1.4,46.0,1.4
,,7,28,201003,20cw,7:28:22 AM,8:24:07 AM,0.4,51.0,5.1
,,8,29,201004,20cw,8:30:07 AM,9:25:37 AM,1.1,55.0,1.6
,,9,34,201005,20cw,9:35:52 AM,10:29:37 AM,1.9,55.0,0.6
,,10,39,201006,20cw,10:39:37 AM,11:39:39 AM,0.6,56.0,4.7
,,11,45,201007,20cw,11:46:23 AM,12:42:08 PM,1.4,56.0,1.1
,,12,51,201008,20cw,12:52:08 PM,1:54:09 PM,1.1,60.0,3.2
,,14,1,201009,20cw,2:01:24 PM,3:03:09 PM,0.4,60.0,2.2
,,15,11,201010,20cw,3:11:38 PM,4:13:23 PM,0.6,61.0,1.4
,,16,22,201011,20cw,4:24:39 PM,5:22:23 PM,2.7,59.0,1.4
,,17,31,201012,20cw,5:33:24 PM,6:28:09 PM,2.4,57.0,0.2
,,18,38,201013,20cw,6:39:23 PM,7:27:07 PM,1.4,49.0,0.1
,,19,33,201014,20cw,7:34:37 PM,8:19:53 PM,1.6,47.0,-0.1
,3297,15,26,204001,20cw,3:27:21 PM,3:58:36 PM,1.4,32.0,0.6
,3298,6,43,102001,10,6:44:09 AM,7:03:39 AM,1.2,20.0,0.7
,,7,16,102002,10,7:17:09 AM,7:36:24 AM,1.2,18.0,2.4
,,,36,102003,10,7:36:39 AM,8:00:24 AM,0.7,21.0,3.4
,,8,4,102004,10,8:04:09 AM,,0.2,17.0,
,,,21,102005,10,8:25:09 AM,8:44:54 AM,4.2,21.0,2.9
,,,49,102006,10,8:49:54 AM,,0.9,17.0,
,,9,6,102007,10,9:08:24 AM,9:30:39 AM,2.4,23.0,1.7
,,,36,102008,10,9:36:24 AM,9:56:54 AM,0.4,18.0,2.9
,,,54,102009,10,9:57:09 AM,10:18:54 AM,3.2,23.0,1.9
,,10,24,102010,10,10:24:39 AM,,0.7,20.0,
,,,44,102011,10,10:45:24 AM,11:08:09 AM,1.4,24.0,0.2
,,11,21,102012,10,11:22:40 AM,,1.7,20.0,
,,,41,102013,10,11:42:40 AM,12:08:40 PM,1.7,24.0,3.7
,,12,12,102014,10,12:12:25 PM,,0.4,21.0,
,,,35,102015,10,12:37:25 PM,1:01:40 PM,2.4,24.0,2.7
,,13,6,102016,10,1:06:40 PM,,0.7,20.0,
,,,28,102017,10,1:32:10 PM,2:04:41 PM,4.2,24.0,12.7
,,14,5,102018,10,2:05:55 PM,,0.9,20.0,
