Trip Date,14,,,,,,,,,
Day,All,,,,,,,,,
,,,,,,,,,,
,,,,,,Data,,,,
Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
First Transit,2210,7,12,304001,31,7:13:02 AM,7:46:48 AM,1.0,29.0,5.8
,,15,26,204001,20cw,3:28:37 PM,3:59:22 PM,2.6,32.0,1.4
,3058,6,39,502001,51,6:39:53 AM,6:56:53 AM,0.9,16.0,1.9
,,7,5,502002,51,7:05:24 AM,7:31:39 AM,0.4,24.0,2.7
,,,29,502003,51,7:32:39 AM,7:56:24 AM,3.7,27.0,0.4
,,12,46,501101,51,,1:14:45 PM,,24.0,4.8
,,13,13,501102,51,1:15:15 PM,1:41:30 PM,2.3,26.0,2.5
,,,46,501103,51,1:47:30 PM,2:15:00 PM,1.5,24.0,5.0
,,14,12,501104,51,2:16:00 PM,2:43:45 PM,4.0,26.0,5.8
,,,45,501105,51,2:48:15 PM,3:19:00 PM,3.3,25.0,9.0
,,15,12,501106,51,3:20:15 PM,3:46:45 PM,8.3,27.0,7.8
,,16,3,501107,51,4:04:00 PM,4:34:30 PM,1.0,28.0,3.5
,,,34,501108,52,4:35:45 PM,5:10:00 PM,1.8,35.0,1.0
,,17,16,501109,51,5:17:45 PM,5:43:30 PM,1.8,26.0,1.5
,,,45,501110,51,5:45:45 PM,6:10:45 PM,0.8,27.0,-1.3
,,18,25,501111,51,6:27:15 PM,6:51:15 PM,2.3,25.0,1.3
,,,53,501112,52,6:53:30 PM,7:27:45 PM,0.5,35.0,-0.3
,,19,34,501113,51,7:35:30 PM,7:59:15 PM,1.5,24.0,1.3
,3206,5,58,601001,60,5:59:32 AM,6:16:48 AM,1.5,18.0,0.8
,,6,20,601002,60,6:20:33 AM,6:35:47 AM,0.6,16.0,-0.2
,,,41,601003,60,6:41:18 AM,7:02:32 AM,0.3,20.0,1.5
,,7,3,601004,60,7:03:18 AM,7:21:32 AM,0.3,17.0,1.5
,,,33,601005,60,7:33:22 AM,7:56:07 AM,0.4,21.0,2.1
,,,58,601006,60,7:58:12 AM,8:20:56 AM,0.2,18.0,4.9
,3207,6,7,501001,51,6:07:57 AM,6:32:57 AM,1.0,23.0,3.0
,,,38,501002,51,6:38:42 AM,7:02:57 AM,0.7,21.0,4.0
,,,59,501003,52,7:03:27 AM,7:38:27 AM,4.5,36.0,3.5
,,7,44,501004,51,7:45:12 AM,8:12:41 AM,1.2,24.0,4.7
,,8,11,501005,51,8:13:27 AM,8:41:27 AM,2.5,25.0,5.5
,,,49,501006,51,,9:15:10 AM,,24.0,2.2
,,9,13,501007,51,9:15:25 AM,9:39:40 AM,2.4,25.0,1.7
,,,45,501008,51,9:46:10 AM,10:09:40 AM,1.2,24.0,0.7
,,10,11,501009,51,10:11:55 AM,10:37:25 AM,0.9,26.0,0.4
,,,44,501010,51,10:45:09 AM,,1.2,26.0,
,,11,10,501011,51,11:11:55 AM,11:36:25 AM,1.9,26.0,0.4
,,,49,501012,51,11:49:31 AM,12:16:31 PM,0.5,24.0,3.5
,,12,13,501013,51,12:17:01 PM,12:44:01 PM,4.0,26.0,5.0
,,16,0,502101,51,4:00:26 PM,4:28:12 PM,0.4,27.0,1.2
,,,33,502102,51,4:33:26 PM,5:02:57 PM,0.4,28.0,2.0
,,17,8,502103,51,5:08:26 PM,5:37:57 PM,0.4,27.0,3.0
,,,48,502104,51,5:48:26 PM,6:16:42 PM,0.4,25.0,3.7
,,18,19,502105,51,6:19:26 PM,6:44:57 PM,0.4,27.0,-1.0
,,,53,502106,51,6:53:41 PM,7:20:57 PM,0.7,24.0,4.0
,,19,20,502107,51,7:21:12 PM,7:33:27 PM,1.2,11.0,2.5
,3209,8,23,601007,60,8:23:24 AM,8:45:10 AM,0.4,21.0,1.2
,,,47,601008,60,8:47:10 AM,9:07:39 AM,0.2,17.0,3.7
,,9,12,601009,60,9:12:24 AM,9:33:09 AM,0.4,20.0,1.2
,,,36,601010,60,9:36:24 AM,9:59:24 AM,0.4,17.0,6.4
,,,58,601011,60,9:59:38 AM,10:21:24 AM,1.6,20.0,3.4
,,10,19,601012,60,10:21:39 AM,10:40:52 AM,2.7,17.0,4.9
,,14,45,602001,60,2:45:00 PM,3:08:58 PM,0.0,23.0,1.0
,,15,8,602002,60,3:09:28 PM,3:30:28 PM,1.5,17.0,5.5
,,,31,602003,60,3:30:45 PM,3:55:13 PM,-0.3,23.0,1.2
,,,56,602004,60,3:56:28 PM,,0.5,19.0,
,,16,18,602005,60,4:19:28 PM,4:45:43 PM,1.5,23.0,4.7
,,,45,602006,60,4:45:58 PM,,1.0,19.0,
,,17,17,602007,60,,5:43:54 PM,,24.0,2.9
,,,45,602008,60,5:45:24 PM,6:05:09 PM,0.4,18.0,2.2
,,18,6,602009,60,6:05:24 PM,6:27:53 PM,-0.6,22.0,-0.1
,,,30,602010,60,6:30:22 PM,,0.4,17.0,
