Trip Date,20,,,,,,,,,
Day,All,,,,,,,,,
,,,,,,,,,,
,,,,,,Data,,,,
Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
First Transit,2210,7,12,304001,31,7:12:33 AM,7:47:33 AM,0.6,29.0,6.6
,,15,26,204001,20cw,3:27:25 PM,3:58:25 PM,1.4,32.0,0.4
,3058,6,39,502001,51,6:39:42 AM,7:05:42 AM,0.7,16.0,10.7
,,7,5,502002,51,7:05:57 AM,7:31:27 AM,1.0,24.0,2.5
,,,29,502003,51,7:32:12 AM,7:56:12 AM,3.2,27.0,0.2
,3206,5,58,601001,60,6:00:36 AM,6:15:53 AM,2.6,18.0,-0.1
,,6,20,601002,60,6:22:22 AM,6:37:51 AM,2.4,16.0,1.9
,,,41,601003,60,6:42:06 AM,7:00:08 AM,1.1,20.0,-0.9
,,7,3,601004,60,7:03:36 AM,7:21:07 AM,0.6,17.0,1.1
,,,33,601005,60,,7:52:45 AM,,21.0,-1.3
,,,58,601006,60,7:58:30 AM,8:17:45 AM,0.5,18.0,1.8
,,8,23,601007,60,8:24:00 AM,8:44:30 AM,1.0,21.0,0.5
,,,47,601008,60,8:49:30 AM,9:07:00 AM,2.5,17.0,3.0
,,9,12,601009,60,9:12:45 AM,9:32:45 AM,0.8,20.0,0.8
,,,36,601010,60,9:37:30 AM,9:54:15 AM,1.5,17.0,1.3
,,,58,601011,60,9:58:45 AM,10:20:45 AM,0.8,20.0,2.8
,,10,19,601012,60,10:21:30 AM,10:40:30 AM,2.5,17.0,4.5
,,14,45,602001,60,2:47:05 PM,3:14:05 PM,2.1,23.0,6.1
,,15,8,602002,60,3:14:35 PM,3:33:51 PM,6.6,17.0,8.9
,,,31,602003,60,3:34:05 PM,3:53:35 PM,3.1,23.0,-0.4
,,,56,602004,60,3:56:36 PM,4:17:05 PM,0.6,19.0,2.1
,,16,18,602005,60,4:21:35 PM,4:44:05 PM,3.6,23.0,3.1
,,,45,602006,60,4:45:51 PM,5:04:51 PM,0.9,19.0,0.9
,,17,17,602007,60,,5:42:13 PM,,24.0,1.2
,,,45,602008,60,5:45:58 PM,6:04:58 PM,1.0,18.0,2.0
,,18,6,602009,60,6:09:00 PM,6:32:00 PM,3.0,22.0,4.0
,,,30,602010,60,6:32:28 PM,6:51:28 PM,2.5,17.0,4.5
,,,47,602011,60,6:51:58 PM,7:10:43 PM,5.0,22.0,1.7
,,19,13,602012,60,7:13:45 PM,7:34:00 PM,0.8,17.0,4.0
,3208,6,7,501001,51,6:07:43 AM,6:38:43 AM,0.7,23.0,8.7
,,,38,501002,51,6:38:58 AM,7:02:28 AM,1.0,21.0,3.5
,,,59,501003,52,7:02:43 AM,,3.7,36.0,
,,7,44,501004,51,,8:13:05 AM,,24.0,5.1
,,8,11,501005,51,8:13:50 AM,8:45:21 AM,2.8,25.0,9.4
,,,49,501006,51,8:49:20 AM,9:13:36 AM,0.3,24.0,0.6
,,9,13,501007,51,9:13:51 AM,9:40:20 AM,0.9,25.0,2.3
