Trip Date,13,,,,,,,,,
Day,All,,,,,,,,,
,,,,,,,,,,
,,,,,,Data,,,,
Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
First Transit,2210,7,12,304001,31,7:12:36 AM,7:45:36 AM,0.6,29.0,4.6
,,15,26,204001,20cw,3:30:52 PM,3:59:22 PM,4.9,32.0,1.4
,3058,6,39,502001,51,6:39:31 AM,6:54:47 AM,0.5,16.0,-0.2
,,7,5,502002,51,7:05:46 AM,7:30:16 AM,0.8,24.0,1.3
,,,29,502003,51,7:30:46 AM,7:57:46 AM,1.8,27.0,1.8
,,16,0,502101,51,4:00:06 PM,4:26:07 PM,0.1,27.0,-0.9
,,,33,502102,51,4:33:36 PM,5:00:52 PM,0.6,28.0,-0.1
,,17,8,502103,51,5:08:36 PM,5:40:06 PM,0.6,27.0,5.1
,,,48,502104,51,5:48:36 PM,6:18:06 PM,0.6,25.0,5.1
,,18,19,502105,51,6:19:21 PM,6:44:52 PM,0.4,27.0,-1.1
,,,53,502106,51,6:53:51 PM,7:18:21 PM,0.9,24.0,1.4
,,19,20,502107,51,7:21:21 PM,,1.4,11.0,
,3206,5,59,103001,10,6:00:57 AM,6:13:58 AM,2.0,15.0,0.0
,,6,14,103002,10,6:15:57 AM,6:33:42 AM,2.0,19.0,0.7
,,,40,103003,10,6:41:33 AM,6:57:04 AM,1.6,15.0,2.1
,,,55,103004,10,6:57:19 AM,7:17:04 AM,2.3,21.0,1.1
,,7,29,103005,10,,7:48:21 AM,,18.0,1.4
,,,51,103006,10,7:51:51 AM,8:16:20 AM,0.9,21.0,4.3
,,14,45,602001,60,2:45:18 PM,3:07:49 PM,0.3,23.0,-0.2
,,15,8,602002,60,3:08:18 PM,3:25:18 PM,0.3,17.0,0.3
,,,31,602003,60,3:32:48 PM,3:55:33 PM,1.8,23.0,1.6
,,,56,602004,60,3:56:48 PM,4:17:03 PM,0.8,19.0,2.1
,,16,18,602005,60,4:18:48 PM,4:41:33 PM,0.8,23.0,0.6
,,,45,602006,60,4:45:48 PM,5:08:18 PM,0.8,19.0,4.3
,,17,17,602007,60,,5:44:51 PM,,24.0,3.9
,,,45,602008,60,5:45:36 PM,6:03:36 PM,0.6,18.0,0.6
,,18,6,602009,60,6:07:21 PM,6:29:36 PM,1.4,22.0,1.6
,,,30,602010,60,6:30:36 PM,6:50:06 PM,0.6,17.0,3.1
,,,47,602011,60,6:50:36 PM,7:09:21 PM,3.6,22.0,0.4
,,19,13,602012,60,7:14:06 PM,7:31:21 PM,1.1,17.0,1.4
,3207,12,46,501101,51,12:46:41 PM,1:14:56 PM,0.7,24.0,4.9
,,13,13,501102,51,1:15:12 PM,1:42:27 PM,2.2,26.0,3.5
,,,46,501103,51,1:46:56 PM,2:13:42 PM,0.9,24.0,3.7
,,14,12,501104,51,2:13:57 PM,2:42:41 PM,2.0,26.0,4.7
,,,45,501105,51,2:48:27 PM,3:15:57 PM,3.5,25.0,6.0
,,15,12,501106,51,3:17:12 PM,3:46:42 PM,5.2,27.0,7.7
,,16,3,501107,51,4:03:56 PM,4:31:27 PM,0.9,28.0,0.5
,,,34,501108,52,4:34:27 PM,5:09:41 PM,0.5,35.0,0.7
,,17,16,501109,51,5:16:42 PM,5:41:28 PM,0.7,26.0,-0.5
,,,45,501110,51,5:45:27 PM,6:10:58 PM,0.5,27.0,-1.0
,,18,25,501111,51,6:25:26 PM,6:50:41 PM,0.4,25.0,0.7
,,,53,501112,52,6:53:56 PM,7:27:26 PM,0.9,35.0,-0.6
,,19,34,501113,51,7:34:57 PM,7:59:42 PM,1.0,24.0,1.7
,3208,5,58,601001,60,6:00:27 AM,6:17:42 AM,2.5,18.0,1.7
,,6,20,601002,60,,6:38:13 AM,,16.0,2.2
,,,41,601003,60,6:41:58 AM,7:01:28 AM,1.0,20.0,0.5
,,7,3,601004,60,7:04:24 AM,7:23:54 AM,1.4,17.0,3.9
,,,33,601005,60,7:36:01 AM,7:55:01 AM,3.0,21.0,1.0
,,,58,601006,60,7:59:31 AM,8:19:31 AM,1.5,18.0,3.5
,,8,23,601007,60,8:24:01 AM,8:45:01 AM,1.0,21.0,1.0
,,,47,601008,60,8:48:01 AM,9:06:16 AM,1.0,17.0,2.3
,,9,12,601009,60,9:13:46 AM,9:32:01 AM,1.8,20.0,0.0
,,,36,601010,60,9:37:38 AM,9:54:23 AM,1.6,17.0,1.4
,,,58,601011,60,9:59:23 AM,10:19:53 AM,1.4,20.0,1.9
,,10,19,601012,60,10:20:53 AM,10:38:39 AM,1.9,17.0,2.7
,,14,40,101022,10,,3:09:06 PM,,20.0,9.1
,,15,4,101023,10,3:09:36 PM,3:35:52 PM,5.6,23.0,8.9
,,,34,101024,10,,,,21.0,
,,,58,101025,10,4:07:09 PM,4:35:39 PM,9.2,23.0,14.7
,,16,28,101026,10,4:35:54 PM,,7.9,20.0,
,,,51,101027,10,4:56:24 PM,5:21:24 PM,5.4,26.0,4.4
,,17,24,101028,10,5:24:39 PM,,0.7,20.0,
,,,46,101029,10,5:53:54 PM,,7.9,24.0,
,,18,17,101030,10,6:20:24 PM,,3.4,20.0,
,,,40,101031,10,6:41:54 PM,7:03:24 PM,1.9,22.0,1.4
,,19,9,101032,10,,7:27:24 PM,,18.0,0.4
,3209,6,7,501001,51,6:07:33 AM,6:33:32 AM,0.6,23.0,3.5
,,,38,501002,51,6:38:33 AM,7:03:18 AM,0.6,21.0,4.3
,,,59,501003,52,7:03:48 AM,7:44:56 AM,4.8,36.0,9.9
,,7,44,501004,51,7:45:12 AM,8:15:11 AM,1.2,24.0,7.2
,,8,11,501005,51,8:15:41 AM,8:44:11 AM,4.7,25.0,8.2
,,,49,501006,51,8:49:26 AM,9:16:57 AM,0.4,24.0,4.0
,,9,13,501007,51,9:17:11 AM,9:45:41 AM,4.2,25.0,7.7
,,,45,501008,51,9:54:56 AM,10:18:41 AM,9.9,24.0,9.7
,,10,11,501009,51,10:18:56 AM,10:40:42 AM,7.9,26.0,3.7
,,,44,501010,51,10:48:25 AM,11:14:40 AM,4.4,26.0,4.7
,,11,10,501011,51,11:14:55 AM,11:37:40 AM,4.9,26.0,1.7
,,,49,501012,51,,12:18:06 PM,,24.0,5.1
,,12,13,501013,51,12:18:21 PM,12:42:06 PM,5.4,26.0,3.1
,3216,5,41,293001,20cc,5:43:45 AM,,2.8,55.0,0.0
,,6,36,293002,20cc,6:36:45 AM,7:32:30 AM,0.8,56.0,0.5
,,7,32,293003,20cc,7:33:15 AM,8:40:00 AM,1.3,67.0,1.0
,,8,39,293004,20cc,8:40:15 AM,9:47:45 AM,1.3,69.0,-0.3
,,9,48,293005,20cc,9:48:15 AM,10:59:15 AM,0.3,70.0,1.3
,,10,58,293006,20cc,10:59:45 AM,12:12:00 PM,1.8,73.0,1.0
,,12,11,293007,20cc,12:12:30 PM,1:25:00 PM,1.5,73.0,1.0
,,13,24,293008,20cc,1:28:30 PM,,4.5,75.0,0.0
,,14,39,293009,20cc,2:39:30 PM,3:57:15 PM,0.5,72.0,6.3
,,15,51,293010,20cc,3:57:30 PM,5:04:00 PM,6.5,70.0,3.0
,,17,1,293011,20cc,5:05:00 PM,6:12:30 PM,4.0,68.0,3.5
,,18,9,293012,20cc,6:12:45 PM,7:13:15 PM,3.8,56.0,8.3
,,19,5,293013,20cc,7:13:30 PM,,8.5,46.0,
,3218,6,48,403001,40,6:48:54 AM,7:15:40 AM,0.9,28.0,-0.3
,,7,26,403002,40,7:26:54 AM,7:52:09 AM,0.9,23.0,3.2
,,,52,403003,40,7:53:24 AM,8:20:09 AM,1.4,28.0,0.2
,,8,30,403004,40,8:30:54 AM,8:54:12 AM,0.9,23.0,1.2
,,12,49,101018,10,12:52:00 PM,1:12:15 PM,3.0,21.0,2.3
,,13,12,101019,10,1:12:30 PM,1:40:15 PM,0.5,24.0,4.3
,,,44,402014,40,,2:24:45 PM,,25.0,15.8
,,14,11,402015,40,2:25:30 PM,2:49:30 PM,14.5,28.0,10.5
,,,49,402016,40,2:52:00 PM,,3.0,27.0,
,,15,58,402018,40,,4:25:15 PM,,27.0,0.3
,,16,28,402019,40,4:28:30 PM,4:57:45 PM,0.5,29.0,0.8
,,17,7,402020,40,5:09:00 PM,5:37:45 PM,2.0,28.0,2.8
