Trip Date,21,,,,,,,,,
Day,All,,,,,,,,,
,,,,,,,,,,
,,,,,,Data,,,,
Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
First Transit,2210,7,12,304001,31,7:13:24 AM,7:47:39 AM,1.4,29.0,6.7
,,15,26,204001,20cw,3:27:17 PM,3:59:02 PM,1.3,32.0,1.0
,3058,6,39,502001,51,6:39:18 AM,6:59:33 AM,0.3,16.0,4.6
,,7,5,502002,51,7:06:17 AM,7:34:48 AM,1.3,24.0,5.8
,,,29,502003,51,7:35:33 AM,8:06:18 AM,6.6,27.0,10.3
,,16,0,502101,51,4:00:33 PM,4:26:34 PM,0.6,27.0,-0.4
,,,33,502102,51,4:33:33 PM,5:03:48 PM,0.6,28.0,2.8
,,17,8,502103,51,5:08:18 PM,5:33:19 PM,0.3,27.0,-1.7
,,,48,502104,51,5:48:33 PM,6:17:33 PM,0.6,25.0,4.6
,,18,19,502105,51,6:19:18 PM,6:46:03 PM,0.3,27.0,0.1
,,,53,502106,51,6:53:33 PM,7:15:47 PM,0.6,24.0,-1.2
,,19,20,502107,51,7:20:18 PM,7:33:02 PM,0.3,11.0,2.0
,3208,5,58,601001,60,5:59:10 AM,6:19:10 AM,1.2,18.0,3.2
,,6,20,601002,60,6:20:25 AM,6:37:55 AM,0.4,16.0,1.9
,,,41,601003,60,6:41:25 AM,6:58:41 AM,0.4,20.0,-2.3
,,7,3,601004,60,7:03:25 AM,7:19:26 AM,0.4,17.0,-0.6
,,,33,601005,60,,7:54:30 AM,,21.0,0.5
,,,58,601006,60,7:58:30 AM,8:23:28 AM,0.5,18.0,7.5
,,8,23,601007,60,8:23:43 AM,8:47:58 AM,0.7,21.0,4.0
,,,47,601008,60,8:48:13 AM,9:07:57 AM,1.2,17.0,4.0
,,9,12,601009,60,9:12:42 AM,9:32:42 AM,0.7,20.0,0.7
,,,36,601010,60,9:36:27 AM,9:54:12 AM,0.5,17.0,1.2
,,,58,601011,60,9:59:21 AM,10:17:50 AM,1.4,20.0,-0.2
,,10,19,601012,60,10:19:34 AM,10:38:34 AM,0.6,17.0,2.6
,,12,46,501101,51,,1:16:33 PM,,24.0,6.6
,,13,13,501102,51,1:17:04 PM,1:45:03 PM,4.1,26.0,6.1
,,,46,501103,51,1:47:48 PM,2:15:03 PM,1.8,24.0,5.1
,,14,12,501104,51,2:15:17 PM,2:42:03 PM,3.3,26.0,4.1
,,,45,501105,51,2:46:32 PM,3:21:16 PM,1.5,25.0,11.3
,,15,12,501106,51,3:22:46 PM,3:49:31 PM,10.8,27.0,10.5
,,16,3,501107,51,4:03:46 PM,4:32:31 PM,0.8,28.0,1.5
,,,34,501108,52,4:35:16 PM,5:12:01 PM,1.3,35.0,3.0
,,17,16,501109,51,5:17:01 PM,5:44:01 PM,1.0,26.0,2.0
,,,45,501110,51,5:45:31 PM,6:10:47 PM,0.5,27.0,-1.2
,,18,25,501111,51,,6:49:15 PM,,25.0,-0.8
,,,53,501112,52,6:53:30 PM,7:30:45 PM,0.5,35.0,2.8
,,19,34,501113,51,7:35:00 PM,7:57:00 PM,1.0,24.0,-1.0
,3209,6,7,501001,51,6:12:52 AM,6:34:37 AM,5.9,23.0,4.6
,,,38,501002,51,6:38:52 AM,7:00:07 AM,0.9,21.0,1.1
,,,59,501003,52,7:01:52 AM,7:34:53 AM,2.9,36.0,-0.1
,,7,44,501004,51,,8:13:09 AM,,24.0,5.2
,,8,11,501005,51,8:13:39 AM,8:38:54 AM,2.7,25.0,2.9
,,,49,501006,51,8:49:36 AM,9:13:20 AM,0.6,24.0,0.3
,,9,13,501007,51,9:13:51 AM,9:37:35 AM,0.9,25.0,-0.4
,,,45,501008,51,9:46:21 AM,,1.4,24.0,
,,10,11,501009,51,10:15:20 AM,10:40:50 AM,4.3,26.0,3.8
,,,44,501010,51,10:47:43 AM,11:12:58 AM,3.7,26.0,3.0
,,11,10,501011,51,11:13:13 AM,11:37:28 AM,3.2,26.0,1.5
,,,49,501012,51,,12:17:03 PM,,24.0,4.1
,,12,13,501013,51,12:17:18 PM,12:43:48 PM,4.3,26.0,4.8
,,14,45,602001,60,2:46:12 PM,3:07:56 PM,1.2,23.0,-0.1
,,15,8,602002,60,3:08:40 PM,3:27:55 PM,0.7,17.0,2.9
,,,31,602003,60,3:28:12 PM,3:54:25 PM,-2.8,23.0,0.4
,,,56,602004,60,3:56:40 PM,4:17:25 PM,0.7,19.0,2.4
,,16,18,602005,60,4:17:42 PM,4:42:10 PM,-0.3,23.0,1.2
,,,45,602006,60,4:45:25 PM,5:04:55 PM,0.4,19.0,0.9
,,17,17,602007,60,,5:42:31 PM,,24.0,1.5
,,,45,602008,60,5:45:16 PM,6:05:16 PM,0.3,18.0,2.3
,,18,6,602009,60,6:06:01 PM,6:28:01 PM,0.0,22.0,0.0
,,,30,602010,60,6:30:16 PM,,0.3,17.0,
,,,47,602011,60,6:50:01 PM,7:06:47 PM,3.0,22.0,-2.2
