Trip Date,27,,,,,,,,,
Day,All,,,,,,,,,
,,,,,,,,,,
,,,,,,Data,,,,
Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
First Transit,2210,7,12,304001,31,7:12:24 AM,7:41:10 AM,0.4,29.0,0.2
,3208,6,7,501001,51,6:07:45 AM,6:34:30 AM,0.8,23.0,4.5
,,,38,501002,51,6:38:15 AM,7:01:00 AM,0.3,21.0,2.0
,,,59,501003,52,7:01:15 AM,,2.3,36.0,
,,7,44,501004,51,,8:13:24 AM,,24.0,5.4
,,8,11,501005,51,8:13:39 AM,,2.7,25.0,
,,,49,501006,51,,9:14:12 AM,,24.0,1.2
,,9,13,501007,51,9:14:27 AM,9:38:12 AM,1.5,25.0,0.2
,,,45,501008,51,9:45:56 AM,10:10:12 AM,0.9,24.0,1.2
,,10,11,501009,51,10:11:26 AM,10:37:12 AM,0.4,26.0,0.2
,,,44,501010,51,,11:13:06 AM,,26.0,3.1
,,11,10,501011,51,11:14:21 AM,,4.4,26.0,
,,,49,501012,51,,12:16:30 PM,,24.0,3.5
,,12,13,501013,51,12:17:30 PM,12:43:30 PM,4.5,26.0,4.5
,,16,0,502101,51,4:00:15 PM,4:28:00 PM,0.3,27.0,1.0
,,,33,502102,51,,5:01:56 PM,,28.0,0.9
,,17,8,502103,51,,5:36:42 PM,,27.0,1.7
,,,48,502104,51,5:48:39 PM,6:15:24 PM,0.7,25.0,2.4
,,18,19,502105,51,6:19:24 PM,6:44:25 PM,0.4,27.0,-1.6
,,,53,502106,51,,7:20:15 PM,,24.0,3.3
,,19,20,502107,51,7:21:00 PM,7:33:15 PM,1.0,11.0,2.3
,3209,6,39,502001,51,6:39:42 AM,6:56:27 AM,0.7,16.0,1.5
,,7,5,502002,51,,7:33:33 AM,,24.0,4.6
,,,29,502003,51,7:34:18 AM,7:59:02 AM,5.3,27.0,3.0
,,14,45,602001,60,2:45:54 PM,3:09:54 PM,0.9,23.0,1.9
,,15,8,602002,60,3:10:24 PM,3:32:24 PM,2.4,17.0,7.4
,,,31,602003,60,3:33:09 PM,3:55:09 PM,2.2,23.0,1.2
,,,56,602004,60,3:57:24 PM,4:15:39 PM,1.4,19.0,0.7
,,16,18,602005,60,4:18:39 PM,4:40:10 PM,0.7,23.0,-0.8
,,,45,602006,60,4:45:24 PM,5:03:40 PM,0.4,19.0,-0.3
,,17,17,602007,60,5:19:48 PM,5:44:03 PM,2.8,24.0,3.1
,,,45,602008,60,5:45:18 PM,6:05:03 PM,0.3,18.0,2.1
,,18,6,602009,60,6:06:18 PM,6:28:48 PM,0.3,22.0,0.8
,,,30,602010,60,6:30:18 PM,6:48:48 PM,0.3,17.0,1.8
,,,47,602011,60,6:49:03 PM,7:07:19 PM,2.1,22.0,-1.7
,,19,13,602012,60,7:13:18 PM,7:31:18 PM,0.3,17.0,1.3
,3210,6,20,601002,60,,6:38:30 AM,,16.0,2.5
,,,41,601003,60,6:42:00 AM,7:00:01 AM,1.0,20.0,-1.0
,,7,3,601004,60,7:03:30 AM,7:23:16 AM,0.5,17.0,3.3
,,,33,601005,60,7:34:46 AM,7:57:01 AM,1.8,21.0,3.0
,,,58,601006,60,7:59:46 AM,8:19:31 AM,1.8,18.0,3.5
,,8,23,601007,60,8:24:01 AM,8:46:01 AM,1.0,21.0,2.0
,,,47,601008,60,8:48:00 AM,9:03:46 AM,1.0,17.0,-0.2
,,9,12,601009,60,9:12:30 AM,9:31:32 AM,0.5,20.0,-0.5
,,,36,601010,60,9:36:30 AM,9:54:00 AM,0.5,17.0,1.0
,,,58,601011,60,9:58:30 AM,10:19:00 AM,0.5,20.0,1.0
,,10,19,601012,60,10:19:30 AM,10:38:15 AM,0.5,17.0,2.3
,,12,46,501101,51,12:46:30 PM,1:09:31 PM,0.5,24.0,-0.5
,,13,13,501102,51,1:13:30 PM,1:46:00 PM,0.5,26.0,7.0
,,,46,501103,51,1:46:30 PM,2:12:45 PM,0.5,24.0,2.8
,,14,12,501104,51,2:13:30 PM,2:42:15 PM,1.5,26.0,4.3
,,,45,501105,51,2:45:30 PM,3:13:45 PM,0.5,25.0,3.8
