Trip Date,28,,,,,,,,,
Day,All,,,,,,,,,
,,,,,,,,,,
,,,,,,Data,,,,
Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
First Transit,2210,7,12,304001,31,7:12:48 AM,7:46:03 AM,0.8,29.0,5.1
,3058,6,39,502001,51,6:40:15 AM,6:55:13 AM,1.3,16.0,0.2
,,7,5,502002,51,7:05:56 AM,7:33:11 AM,0.9,24.0,4.2
,,,29,502003,51,7:33:56 AM,7:57:12 AM,4.9,27.0,1.2
,,16,0,502101,51,4:00:36 PM,4:25:21 PM,0.6,27.0,-1.6
,,,33,502102,51,4:34:36 PM,5:01:20 PM,1.6,28.0,0.3
,,17,8,502103,51,5:08:51 PM,5:34:35 PM,0.9,27.0,-0.4
,,,48,502104,51,,6:18:39 PM,,25.0,5.7
,,18,19,502105,51,6:19:38 PM,6:54:07 PM,0.6,27.0,8.1
,,,53,502106,51,6:54:52 PM,7:18:22 PM,1.9,24.0,1.4
,,19,20,502107,51,7:20:22 PM,7:32:52 PM,0.4,11.0,1.9
,3206,14,45,602001,60,2:44:36 PM,3:08:19 PM,-0.4,23.0,0.3
,,15,8,602002,60,3:09:04 PM,,1.1,17.0,
,,,31,602003,60,3:32:49 PM,3:53:20 PM,1.8,23.0,-0.7
,,,56,602004,60,3:56:19 PM,4:17:49 PM,0.3,19.0,2.8
,,16,18,602005,60,4:18:04 PM,4:41:49 PM,0.1,23.0,0.8
,,,45,602006,60,4:45:19 PM,5:04:49 PM,0.3,19.0,0.8
,,17,17,602007,60,5:17:10 PM,5:41:55 PM,0.2,24.0,0.9
,,,45,602008,60,5:45:10 PM,6:06:27 PM,0.2,18.0,3.5
,,18,6,602009,60,6:06:41 PM,6:28:12 PM,0.7,22.0,0.2
,,,30,602010,60,6:31:57 PM,6:48:27 PM,2.0,17.0,1.5
,,,47,602011,60,6:48:42 PM,7:09:26 PM,1.7,22.0,0.4
,,19,13,602012,60,7:13:12 PM,7:31:12 PM,0.2,17.0,1.2
,3208,6,7,501001,51,6:07:51 AM,6:32:35 AM,0.9,23.0,2.6
,,,38,501002,51,6:38:36 AM,7:03:35 AM,0.6,21.0,4.6
