Trip Date,16,,,,,,,,,
Day,All,,,,,,,,,
,,,,,,,,,,
,,,,,,Data,,,,
Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
First Transit,3216,10,46,101001,10,10:50:45 AM,11:12:15 AM,4.8,21.0,5.3
,,11,14,101002,10,11:14:45 AM,11:35:45 AM,0.8,19.0,2.8
,,,37,101003,10,11:37:15 AM,12:03:01 PM,0.3,22.0,4.0
,,12,6,101004,10,12:09:46 PM,,3.8,20.0,
,,,30,101005,10,12:30:46 PM,12:56:16 PM,0.8,23.0,3.3
,,13,6,101006,10,1:07:31 PM,1:30:16 PM,1.5,20.0,4.3
,,,26,101007,10,1:30:31 PM,1:52:16 PM,4.5,23.0,3.3
,,,56,101008,10,1:57:31 PM,2:17:16 PM,1.5,21.0,0.3
,,14,20,101009,10,2:20:16 PM,2:45:16 PM,0.3,24.0,1.3
,,,51,101010,10,2:52:01 PM,3:13:01 PM,1.0,21.0,1.0
,,15,14,101011,10,3:14:16 PM,3:37:46 PM,0.3,23.0,0.8
,,,44,101012,10,3:44:31 PM,4:06:16 PM,0.5,21.0,1.3
,,16,7,101013,10,4:07:31 PM,4:32:16 PM,0.5,23.0,2.3
,,,37,101014,10,4:37:16 PM,4:58:16 PM,0.3,21.0,0.3
,,17,0,101015,10,5:00:16 PM,,0.3,23.0,
,,,30,101016,10,5:30:31 PM,,0.5,21.0,
,,,52,101017,10,5:52:16 PM,6:14:46 PM,0.3,22.0,0.8
,,18,27,101018,10,,,,20.0,
,,,49,101019,10,6:49:16 PM,7:09:47 PM,0.3,21.0,-0.2
,,19,17,101020,10,7:17:16 PM,7:47:46 PM,0.3,20.0,10.8
,,,39,101021,10,7:48:01 PM,8:14:01 PM,9.0,20.0,15.0
,3217,11,10,202001,20cw,11:17:18 AM,12:08:18 PM,7.3,51.0,7.3
,,12,6,202002,20cw,12:09:03 PM,1:01:33 PM,3.1,54.0,1.6
,,13,10,202003,20cw,1:12:03 PM,2:04:04 PM,2.1,55.0,-0.9
,3218,10,55,292001,20cc,10:57:30 AM,11:53:47 AM,2.5,60.0,-1.2
,,11,55,292002,20cc,11:56:01 AM,12:54:47 PM,1.0,67.0,-7.2
,,13,2,292003,20cc,1:03:01 PM,1:57:02 PM,1.0,64.0,-9.0
,,14,6,292004,20cc,2:06:46 PM,3:09:32 PM,0.8,64.0,-0.5
,,15,10,292005,20cc,3:10:16 PM,4:14:00 PM,0.3,65.0,-1.0
,,16,15,292006,20cc,4:15:15 PM,5:21:53 PM,0.3,67.0,-0.1
,,17,22,292007,20cc,5:22:24 PM,,0.4,62.0,
,,18,24,292008,20cc,6:24:38 PM,7:18:24 PM,0.6,54.0,0.4
,,19,18,292009,20cc,7:18:38 PM,,0.6,48.0,
,3219,11,0,291001,20cc,11:00:26 AM,11:22:41 AM,0.4,23.0,-0.3
,,,23,291002,20cc,11:24:12 AM,12:27:27 PM,1.2,64.0,0.5
,,12,27,291003,20cc,12:28:12 PM,1:33:13 PM,1.2,67.0,-0.8
,,13,34,291004,20cc,1:34:27 PM,2:38:42 PM,0.5,64.0,0.7
,,14,38,291005,20cc,2:39:12 PM,3:44:42 PM,1.2,65.0,1.7
,,15,43,291006,20cc,3:45:42 PM,4:42:28 PM,2.7,67.0,-7.5
,,16,50,291007,20cc,4:50:12 PM,5:42:58 PM,0.2,62.0,-9.0
,,17,52,291008,20cc,5:53:27 PM,6:48:42 PM,1.5,56.0,0.7
,,18,48,291009,20cc,6:48:57 PM,7:36:27 PM,1.0,48.0,0.5
,3220,10,49,302001,32,10:49:49 AM,11:17:34 AM,0.8,26.0,2.6
,,11,15,302002,32,11:17:49 AM,11:43:04 AM,2.8,22.0,6.1
,,,50,302003,32,11:52:49 AM,12:19:50 PM,2.8,25.0,4.8
,,12,15,302004,32,12:20:20 PM,12:45:51 PM,5.3,22.0,8.9
,,,45,302005,32,12:46:51 PM,1:11:20 PM,1.9,30.0,-3.7
,,13,15,302006,32,1:15:20 PM,1:38:06 PM,0.3,23.0,0.1
,,,46,302007,32,1:48:35 PM,2:18:35 PM,2.6,29.0,3.6
,,14,15,302008,32,2:18:50 PM,2:41:50 PM,3.8,24.0,2.8
,,,47,302009,32,2:51:50 PM,3:18:50 PM,4.8,28.0,3.8
,,15,15,302010,32,3:19:35 PM,3:44:05 PM,4.6,22.0,7.1
,,,50,302011,32,3:51:21 PM,4:20:20 PM,1.4,26.0,4.3
,,16,16,302012,32,4:20:50 PM,4:47:36 PM,4.8,22.0,9.6
,,,46,302013,32,4:50:05 PM,5:18:51 PM,4.1,32.0,0.9
,,17,18,302014,32,5:19:06 PM,5:42:51 PM,1.1,24.0,0.9
,,,50,302015,32,5:51:21 PM,6:18:51 PM,1.4,28.0,0.9
,,18,18,302016,32,6:19:06 PM,6:41:51 PM,1.1,23.0,0.9
,,,49,302017,32,6:50:36 PM,7:19:20 PM,1.6,26.0,4.3
,,19,15,302018,32,7:19:35 PM,7:39:36 PM,4.6,23.0,1.6
,3221,14,18,202004,20cw,,3:11:00 PM,,52.0,1.0
,,15,20,202005,20cw,3:21:13 PM,4:19:00 PM,1.2,54.0,5.0
,,16,24,202006,20cw,4:24:43 PM,5:18:43 PM,0.7,54.0,0.7
,,17,31,202007,20cw,5:31:28 PM,6:27:28 PM,0.5,50.0,6.5
,,18,31,202008,20cw,6:31:43 PM,7:31:00 PM,0.7,47.0,13.0
,,19,23,202009,20cw,7:31:30 PM,8:15:58 PM,8.5,45.0,8.0
,3222,11,0,402001,40,11:01:00 AM,11:29:16 AM,1.0,27.0,2.3
,,,37,402002,40,11:38:31 AM,12:03:48 PM,1.5,22.0,4.8
,,12,4,402003,40,12:05:03 PM,12:35:33 PM,1.1,27.0,4.6
,,,41,402004,40,12:42:19 PM,1:08:04 PM,1.3,21.0,6.1
,,13,5,402005,40,1:08:19 PM,1:40:50 PM,3.3,28.0,7.8
,,,43,402006,40,1:44:21 PM,2:07:21 PM,1.4,23.0,1.4
,,14,9,402007,40,2:10:06 PM,2:38:51 PM,1.1,28.0,1.9
