,,Green &,Colorado&,Lake &,Lake &,Del Mar,Allen,,Allen,Del Mar,Lake &,Colorado,Colorado &,Colorado,Green &
Route,Day,Orange Grove,Raymond,Colorado,Del Mar,& Bonnie,& Corson,,& Corson,& Bonnie,Del Mar,& Lake,Raymond,& De Lacey,Orange Grove
10,dx,12:55 PM,1:00 PM,1:07 PM,1:09 PM,1:12 PM,1:19 PM,,1:26 PM,1:29 PM,1:33 PM,1:35 PM,1:41 PM,,1:46 PM
10,dx,1:12 PM,1:17 PM,1:24 PM,1:26 PM,1:29 PM,1:36 PM,,1:49 PM,1:52 PM,1:56 PM,1:58 PM,2:04 PM,,2:09 PM
10,dx,1:28 PM,1:33 PM,1:40 PM,1:42 PM,1:45 PM,1:52 PM,,2:05 PM,2:08 PM,2:12 PM,2:14 PM,2:20 PM,,2:25 PM
10,dx,1:48 PM,1:53 PM,2:00 PM,2:02 PM,2:05 PM,2:12 PM,,2:25 PM,2:28 PM,2:32 PM,2:34 PM,2:40 PM,,2:45 PM
10,dx,2:09 PM,2:14 PM,2:21 PM,2:23 PM,2:26 PM,2:33 PM,,2:40 PM,2:43 PM,2:47 PM,2:49 PM,2:55 PM,,3:00 PM
10,dx,2:27 PM,2:32 PM,2:39 PM,2:41 PM,2:44 PM,2:51 PM,,2:59 PM,3:03 PM,3:07 PM,3:09 PM,3:15 PM,,3:20 PM
10,dx,2:47 PM,2:52 PM,2:59 PM,3:01 PM,3:04 PM,3:11 PM,,3:18 PM,3:22 PM,3:26 PM,3:28 PM,3:34 PM,,3:39 PM
10,dx,3:04 PM,3:09 PM,3:15 PM,3:17 PM,3:20 PM,3:27 PM,,3:34 PM,3:38 PM,3:42 PM,3:44 PM,3:50 PM,,3:55 PM
10,dx,3:21 PM,3:26 PM,3:32 PM,3:34 PM,3:37 PM,3:44 PM,,3:51 PM,3:55 PM,3:59 PM,4:01 PM,4:07 PM,,4:12 PM
10,dx,3:41 PM,3:46 PM,3:52 PM,3:54 PM,3:57 PM,4:04 PM,,4:11 PM,4:14 PM,4:18 PM,4:20 PM,4:26 PM,,4:31 PM
10,dx,3:58 PM,4:03 PM,4:09 PM,4:11 PM,4:14 PM,4:21 PM,,4:28 PM,4:31 PM,4:35 PM,4:37 PM,4:43 PM,,4:48 PM
10,dx,4:16 PM,4:21 PM,4:27 PM,4:29 PM,4:32 PM,4:39 PM,,4:46 PM,4:49 PM,4:53 PM,4:55 PM,5:01 PM,,5:06 PM
10,dx,4:36 PM,4:41 PM,4:47 PM,4:49 PM,4:52 PM,4:59 PM,,5:06 PM,5:09 PM,5:13 PM,5:15 PM,5:21 PM,,5:26 PM
10,dx,4:51 PM,4:56 PM,5:03 PM,5:06 PM,5:10 PM,5:17 PM,,5:24 PM,5:27 PM,5:31 PM,5:33 PM,5:39 PM,,5:44 PM
10,dx,5:08 PM,5:13 PM,5:20 PM,5:23 PM,5:27 PM,5:34 PM,,5:41 PM,5:44 PM,5:48 PM,5:50 PM,5:56 PM,,6:01 PM
10,dx,5:28 PM,5:33 PM,5:40 PM,5:43 PM,5:47 PM,5:54 PM,,6:01 PM,6:04 PM,6:08 PM,6:10 PM,6:16 PM,,6:21 PM
10,dx,5:46 PM,5:51 PM,5:58 PM,6:01 PM,6:04 PM,6:10 PM,,6:17 PM,6:20 PM,6:24 PM,6:26 PM,6:32 PM,,6:37 PM
10,dx,6:03 PM,6:08 PM,6:14 PM,6:16 PM,6:19 PM,6:25 PM,,6:32 PM,6:35 PM,6:39 PM,6:41 PM,6:47 PM,,6:52 PM
10,dx,6:23 PM,6:28 PM,6:34 PM,6:36 PM,6:39 PM,6:45 PM,,6:52 PM,6:55 PM,6:59 PM,7:01 PM,7:06 PM,,7:11 PM
10,dx,6:40 PM,6:45 PM,6:51 PM,6:53 PM,6:56 PM,7:02 PM,,7:09 PM,7:12 PM,7:15 PM,7:17 PM,7:22 PM,,7:27 PM
10,dx,6:59 PM,7:04 PM,7:10 PM,7:12 PM,7:15 PM,7:21 PM,,7:28 PM,7:31 PM,7:34 PM,7:36 PM,7:41 PM,7:43 PM,
10,dx,7:18 PM,7:23 PM,7:29 PM,7:31 PM,7:34 PM,7:40 PM,,7:47 PM,7:50 PM,7:53 PM,7:55 PM,8:00 PM,8:02 PM,
